Maze Type, Resolution, Solving Time, Short Corridors, Medium Corridors, Long Corridors, Seed
RecursiveDivision,32x32,1,59359,333,241,4,240548384
RecursiveDivision,32x32,2,682686,340,252,0,793140243
RecursiveDivision,32x32,0,4653931,323,253,2,310646623
RecursiveDivision,32x32,1,806259,317,230,5,662580987
RecursiveDivision,32x32,0,70858,290,264,0,771740206
RecursiveDivision,32x32,2,492905,340,245,3,638903994
RecursiveDivision,32x32,2,696037,333,260,1,177876178
RecursiveDivision,32x32,2,228737,356,233,2,453006505
RecursiveDivision,32x32,0,3795624,330,257,1,147668036
RecursiveDivision,32x32,2,72274,343,231,5,604277443
RecursiveDivision,32x32,0,3700256,364,242,4,637097159
RecursiveDivision,32x32,5,044937,313,260,1,668657966
RecursiveDivision,32x32,0,8506775,323,269,1,273017159
RecursiveDivision,32x32,1,613617,383,240,2,504411148
RecursiveDivision,32x32,0,7171631,361,237,0,502239062
RecursiveDivision,32x32,2,361298,335,250,2,182285252
RecursiveDivision,32x32,2,388,338,254,1,45692575
RecursiveDivision,32x32,2,246857,310,242,2,725427872
RecursiveDivision,32x32,1,056671,338,249,0,437499512
RecursiveDivision,32x32,1,836777,330,258,1,896497944
RecursiveDivision,32x32,2,571106,331,260,2,972740440
RecursiveDivision,32x32,0,6275177,338,241,3,110277321
RecursiveDivision,32x32,2,847672,378,223,6,335115284
RecursiveDivision,32x32,2,527237,352,245,2,432019942
RecursiveDivision,32x32,0,6103516,342,264,0,24182862
RecursiveDivision,32x32,1,792908,366,238,6,983491528
RecursiveDivision,32x32,0,9689331,370,230,2,28081224
RecursiveDivision,32x32,1,882553,349,240,1,831429052
RecursiveDivision,32x32,1,207352,338,246,2,333011689
RecursiveDivision,32x32,6,052017,310,268,0,20590605
RecursiveDivision,32x32,0,5340576,350,248,0,828916672
RecursiveDivision,32x32,2,016068,342,246,1,726117571
RecursiveDivision,32x32,0,3547668,319,250,1,469231240
RecursiveDivision,32x32,1,842499,353,242,2,39750667
RecursiveDivision,32x32,0,9422302,326,247,5,850165789
RecursiveDivision,32x32,2,132416,338,241,2,147870964
RecursiveDivision,32x32,0,8163452,348,244,1,758543358
RecursiveDivision,32x32,1,558304,332,236,4,363028767
RecursiveDivision,32x32,0,2479553,347,239,2,586279333
RecursiveDivision,32x32,0,4043579,356,247,2,251058665
RecursiveDivision,32x32,2,357483,328,247,4,632035530
RecursiveDivision,32x32,2,11525,315,261,0,79627182
RecursiveDivision,32x32,0,617981,337,252,1,385574900
RecursiveDivision,32x32,2,182007,339,244,3,844191913
RecursiveDivision,32x32,0,7572174,314,255,2,219485280
RecursiveDivision,32x32,2,693176,343,244,3,577967924
RecursiveDivision,64x64,17,17949,2288,77,0,361615044
RecursiveDivision,64x64,14,04572,2285,71,2,641915706
RecursiveDivision,64x64,6,587982,2328,62,0,300487005
RecursiveDivision,64x64,5,218506,2308,68,0,150708200
RecursiveDivision,64x64,17,6754,2304,60,0,818592455
RecursiveDivision,64x64,17,36069,2265,69,0,66123072
RecursiveDivision,64x64,6,364822,2253,67,1,994184533
RecursiveDivision,64x64,15,09094,2214,77,1,440354144
RecursiveDivision,64x64,8,430481,2324,72,0,67606647
RecursiveDivision,64x64,18,06259,2269,65,0,309167052
RecursiveDivision,64x64,11,64436,2355,76,0,124631548
RecursiveDivision,64x64,2,716064,2276,75,0,27497656
RecursiveDivision,64x64,11,59859,2301,63,1,699473990
RecursiveDivision,64x64,17,15469,2302,72,1,963369426
RecursiveDivision,64x64,3,398895,2230,80,1,32447621
RecursiveDivision,64x64,17,02118,2344,72,0,340305789
RecursiveDivision,64x64,7,354736,2294,71,0,377408920
RecursiveDivision,64x64,15,35416,2324,62,0,874526115
RecursiveDivision,64x64,7,423401,2213,94,0,170854157
RecursiveDivision,64x64,10,15282,2314,62,0,547050982
RecursiveDivision,64x64,4,69017,2316,71,0,773917861
RecursiveDivision,64x64,9,672165,2294,76,0,922201830
RecursiveDivision,64x64,21,86394,2301,68,0,312982674
RecursiveDivision,64x64,9,609222,2334,70,0,708490818
RecursiveDivision,64x64,13,11493,2266,72,0,566767629
RecursiveDivision,64x64,17,5457,2246,81,0,417799251
RecursiveDivision,64x64,2,500534,2231,78,0,200675515
RecursiveDivision,64x64,7,665634,2344,53,0,57942467
RecursiveDivision,64x64,7,076263,2256,72,0,43310491
RecursiveDivision,64x64,8,123398,2253,75,1,892332998
RecursiveDivision,64x64,6,746292,2319,67,0,136450730
RecursiveDivision,64x64,11,81793,2277,76,0,558777425
RecursiveDivision,64x64,7,69043,2272,74,0,839923398
RecursiveDivision,64x64,15,22827,2257,79,0,979059645
RecursiveDivision,64x64,7,730484,2281,81,0,952065224
RecursiveDivision,64x64,4,97818,2321,68,0,203999124
RecursiveDivision,64x64,16,33263,2310,81,0,461295255
RecursiveDivision,64x64,3,324509,2299,60,0,599564319
RecursiveDivision,64x64,7,125854,2291,58,1,200054325
RecursiveDivision,64x64,8,649826,2290,66,0,455052478
RecursiveDivision,64x64,16,84189,2281,67,0,470961952
RecursiveDivision,64x64,9,836197,2220,80,0,613107517
RecursiveDivision,64x64,3,276825,2329,68,0,37581823
RecursiveDivision,64x64,10,16617,2271,77,0,431631086
RecursiveDivision,64x64,9,016037,2300,73,0,827357881
RecursiveDivision,64x64,18,59856,2313,71,0,814086995
RecursiveDivision,64x64,3,240585,2249,69,0,742471782
RecursiveDivision,64x64,17,04979,2261,71,0,587997871
RecursiveDivision,64x64,4,301071,2280,79,1,288774971
RecursiveDivision,64x64,3,965378,2297,54,2,379708916
RecursiveDivision,64x64,16,08849,2306,59,0,809169879
RecursiveDivision,64x64,18,48984,2294,70,0,882924611
RecursiveDivision,64x64,12,46262,2259,85,0,759407427
RecursiveDivision,64x64,15,59639,2259,76,0,852565184
RecursiveDivision,64x64,6,816864,2276,65,0,504817694
RecursiveDivision,64x64,4,922867,2261,79,0,905949140
RecursiveDivision,64x64,11,20949,2247,69,2,905350350
RecursiveDivision,64x64,4,732132,2269,75,0,131400045
RecursiveDivision,64x64,17,58194,2271,70,0,276608013
RecursiveDivision,64x64,21,3623,2209,80,0,451496676
RecursiveDivision,64x64,6,788254,2287,74,0,594125555
RecursiveDivision,64x64,4,148483,2283,78,0,553377435
RecursiveDivision,64x64,6,828308,2290,69,0,441601716
RecursiveDivision,64x64,10,76126,2297,66,0,871495286
RecursiveDivision,64x64,18,06068,2310,57,0,618728572
RecursiveDivision,64x64,10,13184,2249,85,3,10883772
RecursiveDivision,64x64,11,22284,2302,72,0,948853190
RecursiveDivision,64x64,18,12744,2283,68,0,167425332
RecursiveDivision,64x64,12,14409,2263,76,0,372973879
RecursiveDivision,64x64,16,77895,2323,60,0,210808564
RecursiveDivision,64x64,15,20538,2243,76,1,194149977
RecursiveDivision,64x64,13,16452,2251,77,0,912607809
RecursiveDivision,64x64,19,34052,2310,72,0,530712009
RecursiveDivision,64x64,9,94873,2279,79,0,272214434
RecursiveDivision,64x64,9,391785,2282,75,0,156666243
RecursiveDivision,64x64,6,889343,2284,72,0,383571719
RecursiveDivision,64x64,2,975464,2328,64,1,168833573
RecursiveDivision,64x64,16,82091,2303,73,0,723926245
RecursiveDivision,64x64,7,200241,2196,80,1,129775521
RecursiveDivision,64x64,9,174347,2290,67,0,431592284
RecursiveDivision,64x64,5,950928,2322,65,0,925625140
RecursiveDivision,64x64,4,394531,2326,71,0,101960758
RecursiveDivision,64x64,2,693176,2269,79,0,559907868
RecursiveDivision,64x64,14,62364,2326,70,0,404607037
RecursiveDivision,64x64,2,576828,2288,70,0,128001833
RecursiveDivision,64x64,13,88741,2226,73,2,578686786
RecursiveDivision,64x64,8,985519,2290,78,0,517971063
RecursiveDivision,64x64,17,68112,2278,86,0,284903519
RecursiveDivision,64x64,18,90945,2269,68,0,574035488
RecursiveDivision,64x64,5,53894,2332,66,0,320504004
RecursiveDivision,64x64,11,48796,2225,83,0,904512008
RecursiveDivision,64x64,6,528854,2246,75,1,959428240
RecursiveDivision,64x64,18,69583,2299,79,0,529103566
RecursiveDivision,64x64,16,44707,2292,74,0,195647888
RecursiveDivision,64x64,7,118225,2289,67,0,151863749
RecursiveDivision,64x64,4,364014,2305,64,0,135144034
RecursiveDivision,64x64,16,41464,2311,71,0,484120827
RecursiveDivision,64x64,12,20703,2291,74,0,86978741
RecursiveDivision,64x64,18,62335,2265,72,0,484835665
RecursiveDivision,64x64,22,67075,2294,66,0,848687453
RecursiveDivision,128x128,36,57722,9526,4,0,905588096
RecursiveDivision,128x128,48,76709,9491,7,0,629773167
RecursiveDivision,128x128,130,5561,9461,5,0,63432315
RecursiveDivision,128x128,100,668,9408,9,0,767406949
RecursiveDivision,128x128,24,96147,9349,7,0,710025613
RecursiveDivision,128x128,47,67227,9491,5,0,980778158
RecursiveDivision,128x128,41,29791,9479,8,0,326813112
RecursiveDivision,128x128,149,2119,9373,6,0,68758306
RecursiveDivision,128x128,104,496,9387,5,0,74957254
RecursiveDivision,128x128,67,68417,9417,9,0,859217369
RecursiveDivision,128x128,38,99956,9446,5,0,925391061
RecursiveDivision,128x128,53,77388,9381,6,1,906418358
RecursiveDivision,128x128,112,8941,9349,6,0,470566768
RecursiveDivision,128x128,63,56621,9341,3,0,618359462
RecursiveDivision,128x128,61,26213,9334,14,0,9321349
RecursiveDivision,128x128,98,57941,9489,9,0,726371933
RecursiveDivision,128x128,103,1609,9390,5,0,533652997
RecursiveDivision,128x128,84,53941,9386,11,0,889027808
RecursiveDivision,128x128,105,9361,9343,5,0,632594812
RecursiveDivision,128x128,65,39536,9454,4,0,614873117
RecursiveDivision,128x128,39,92271,9458,6,0,50176810
RecursiveDivision,128x128,34,56116,9347,8,0,161521239
RecursiveDivision,128x128,82,90482,9332,5,1,844309427
RecursiveDivision,128x128,90,72876,9413,10,0,567974776
RecursiveDivision,128x128,24,05548,9377,4,0,87337680
RecursiveDivision,128x128,66,8087,9334,9,0,767488943
RecursiveDivision,128x128,31,43311,9510,3,0,55328819
RecursiveDivision,128x128,20,50591,9393,14,0,960893067
RecursiveDivision,128x128,18,69011,9353,7,0,265616726
RecursiveDivision,128x128,64,19754,9532,7,0,927403911
RecursiveDivision,128x128,134,6741,9352,9,1,224321913
RecursiveDivision,128x128,107,6412,9386,7,0,146333477
RecursiveDivision,128x128,13,79013,9373,17,0,182313732
RecursiveDivision,128x128,36,27968,9415,8,0,343581053
RecursiveDivision,128x128,72,4678,9409,7,0,47228388
RecursiveDivision,128x128,85,48927,9452,9,0,698988702
RecursiveDivision,128x128,99,22791,9376,8,0,90724760
RecursiveDivision,128x128,24,58572,9526,7,0,596571456
RecursiveDivision,128x128,85,97183,9488,5,0,378217149
RecursiveDivision,128x128,8,81958,9345,7,1,502881662
RecursiveDivision,128x128,119,4057,9419,6,1,860604787
RecursiveDivision,128x128,50,26436,9445,8,0,296579561
RecursiveDivision,128x128,109,7927,9380,7,0,993439850
RecursiveDivision,128x128,22,42088,9344,5,0,632096354
RecursiveDivision,128x128,92,78107,9435,7,0,239111980
RecursiveDivision,128x128,58,87413,9501,9,0,733178894
RecursiveDivision,128x128,147,2702,9502,5,0,328083811
RecursiveDivision,128x128,72,3362,9325,3,1,570402707
RecursiveDivision,128x128,88,44757,9431,3,1,252261008
RecursiveDivision,128x128,34,78622,9423,5,1,802184758
RecursiveDivision,128x128,122,673,9511,7,0,901367158
RecursiveDivision,128x128,11,75308,9296,8,0,712496367
RecursiveDivision,128x128,64,98528,9384,8,0,876027041
RecursiveDivision,128x128,130,1003,9362,6,0,602420454
RecursiveDivision,128x128,74,95117,9409,7,0,862056340
RecursiveDivision,128x128,125,6866,9461,4,0,169535019
RecursiveDivision,128x128,53,19023,9465,4,0,252163960
RecursiveDivision,128x128,96,71593,9535,2,0,970393006
RecursiveDivision,128x128,29,96826,9530,4,0,548136092
RecursiveDivision,128x128,33,3786,9314,5,0,35876915
RecursiveDivision,128x128,62,51717,9445,6,0,45231611
RecursiveDivision,128x128,118,6218,9400,8,0,497550728
RecursiveDivision,128x128,51,83029,9513,7,0,355699933
RecursiveDivision,128x128,96,3192,9378,7,0,675635081
RecursiveDivision,128x128,43,41316,9393,6,0,463806570
RecursiveDivision,128x128,69,33594,9369,3,0,917908879
RecursiveDivision,128x128,31,00204,9391,11,0,199085580
RecursiveDivision,128x128,15,84816,9392,6,0,496155092
RecursiveDivision,128x128,93,69659,9340,4,0,100391550
RecursiveDivision,128x128,39,23035,9347,8,0,484922637
RecursiveDivision,128x128,62,82425,9448,8,0,192618392
RecursiveDivision,128x128,70,61768,9444,10,0,195046323
RecursiveDivision,128x128,50,56763,9285,7,0,129612406
RecursiveDivision,128x128,29,10995,9377,13,0,570264029
RecursiveDivision,128x128,29,68407,9471,8,0,470595413
RecursiveDivision,128x128,20,6852,9520,5,1,46022103
RecursiveDivision,128x128,62,56866,9370,9,0,343790842
RecursiveDivision,128x128,33,48541,9467,3,0,90062055
RecursiveDivision,128x128,148,9353,9425,4,0,371934205
RecursiveDivision,128x128,119,1959,9395,6,0,510552863
RecursiveDivision,128x128,52,61993,9391,10,0,158843339
RecursiveDivision,128x128,75,25063,9301,11,0,306061165
RecursiveDivision,128x128,23,14758,9344,12,0,36806469
RecursiveDivision,128x128,19,96422,9364,14,1,39703333
RecursiveDivision,128x128,127,5902,9249,6,1,35223067
RecursiveDivision,128x128,16,34789,9353,7,0,483485027
RecursiveDivision,128x128,47,6284,9279,8,0,205724496
RecursiveDivision,128x128,56,37932,9483,8,0,693131876
RecursiveDivision,128x128,99,87259,9330,6,0,423583304
RecursiveDivision,128x128,103,8036,9439,3,0,582868131
RecursiveDivision,128x128,39,32381,9454,5,0,587087832
RecursiveDivision,128x128,38,26904,9445,6,0,54315306
RecursiveDivision,128x128,126,6708,9307,9,1,226434435
RecursiveDivision,128x128,15,46669,9431,9,0,90899500
RecursiveDivision,128x128,60,64224,9412,13,0,143477122
